Product URL,Product Name,Product Price,Rating,Reviews
/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY/ref=sr_1_102?keywords=bags&qid=1688660933&sr=8-102,Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),"₹1,499",4.3 out of 5 stars,952
/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D3YR7T/ref=sr_1_103?keywords=bags&qid=1688660933&sr=8-103,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",₹399,4.7 out of 5 stars,59
/Wesley-Waterproof-Backpack-College-Business/dp/B08B6F3X7V/ref=sr_1_104?keywords=bags&qid=1688660933&sr=8-104,Wesley Matrix 15.6 inch 35L Casual Waterproof Laptop Backpack/Office Bag/College Bag/Business Bag/Unisex Travel Backpack (Navy Blue),₹499,4.2 out of 5 stars,761
/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96/ref=sr_1_105?keywords=bags&qid=1688660933&sr=8-105,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,₹351,3.9 out of 5 stars,300
/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QB6D7B/ref=sr_1_106_mod_primary_new?keywords=bags&qid=1688660933&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-106,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"₹1,445",4.5 out of 5 stars,"3,957"
/Martucci-Laptop-Backpack-College-Reflective/dp/B0B7DT6HY3/ref=sr_1_107?keywords=bags&qid=1688660933&sr=8-107,Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip,₹746,4.0 out of 5 stars,"1,196"
/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=sr_1_108?keywords=bags&qid=1688660933&sr=8-108,"Genie Miami Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",₹799,4.2 out of 5 stars,"1,436"
/DIVULGE-Drawstring-Bag-Sports-Utility/dp/B07PXTDBH4/ref=sr_1_109?keywords=bags&qid=1688660933&sr=8-109,"DIVULGE Multi Utility Drawstring Bag (Black , 16 L)",₹155,4.0 out of 5 stars,"1,127"
/Auxter-Premium-Sports-Compartment-Black-Green/dp/B08XWBDGMB/ref=sr_1_110?keywords=bags&qid=1688660933&sr=8-110,AUXTER Premium Sports Gym Duflle Bag with Shoe Compartment for Men and Women,₹484,4.3 out of 5 stars,"1,265"
/American-Tourister-FS0-11-001/dp/B07S13P8BW/ref=sr_1_111?keywords=bags&qid=1688660933&sr=8-111,American Tourister Spin 49 cms Teal Laptop Backpack,"₹1,699",4.0 out of 5 stars,"1,477"
